url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31416939/trosoban-stan-sa-garazom-nova-otoka-52-m2/,[IZDAVANJE] Trosoban stan sa garažom - Nova Otoka - 52 m2,650 KM,"Sarajevo, Novi Grad",43.849404,18.364241,52,Trosoban (3),Džemala Bijedića,Novogradnja,
https://www.olx.ba/artikal/30899473/trosoban-stan-na-vracama/,[IZDAVANJE] Trosoban stan na Vracama,500 KM,Novo Sarajevo,43.847669,18.398519,60,Trosoban (3),Avde Smajlovica,,
https://www.olx.ba/artikal/31428630/my-space-stan-centar-nahorevska-novogradnja-62-m2/,[IZDAVANJE] MY SPACE/ Stan/ Centar/ Nahorevska/ NOVOGRADNJA/ 62 m2,700 KM,Sarajevo - Centar,43.880623,18.414514,62,Trosoban (3),Nahorevska,2010+,
https://www.olx.ba/artikal/31285533/alfakovac-stari-grad-dvosoban-namjesten-stan/,"[IZDAVANJE] Alfakovac,Stari grad dvosoban namjesten stan",350 KM,Stari Grad,43.856257,18.43518,60,Dvosoban (2),Mehmeda Mujezinovica31,,
https://www.olx.ba/artikal/31258291/stan-sarajevo-centar/,[IZDAVANJE] Stan Sarajevo - Centar,400 KM,Sarajevo - Centar,,,30,Jednosoban (1),sepetarevac 15,Novogradnja,
https://www.olx.ba/artikal/31253772/namjesten-stan-cengic-vila/,[IZDAVANJE] Namješten stan Čengic Vila,450 KM,Novo Sarajevo,,,54,Dvosoban (2),,,
https://www.olx.ba/artikal/31425884/najam-trosoban-stan-u-centru-alipasina-ulica/,[IZDAVANJE] NAJAM-Trosoban stan u Centru-Alipašina ulica,600 KM,Sarajevo - Centar,43.858618,18.412197,80,Trosoban (3),Alipašina,,
https://www.olx.ba/artikal/30900170/trosoban-namjesten-stan-kovacici-ljubljanska/,[IZDAVANJE] Trosoban namješten stan - Kovačići - Ljubljanska,600 KM,Novo Sarajevo,43.852265,18.405528,70,Trosoban (3),Ljubljanska,,
https://www.olx.ba/artikal/31422711/trosoban-stan-novogradnja-izvor-stup-ilidza/,[IZDAVANJE] Trosoban stan - Novogradnja Izvor - Stup - Ilidža,700 KM,Ilidža,43.842829,18.325531,63,Trosoban (3),Nikole Šopa,Novogradnja,
https://www.olx.ba/artikal/31422498/dvosoban-namjesten-stan-novo-sarajevo-hrasno/,[IZDAVANJE] Dvosoban namješten stan - Novo Sarajevo - Hrasno,400 KM,Novo Sarajevo,43.850842,18.383426,54,Dvosoban (2),Aleja lipa,,
https://www.olx.ba/artikal/30397542/my-space-stan-otoka-radenka-abazovica-85-m2/,[IZDAVANJE] MY SPACE/ Stan/ Otoka/ Radenka Abazovica/ 85 m2,750 KM,"Sarajevo, Novi Grad",43.852181,18.365207,85,Trosoban (3),Radenka Abazovića,,Istok
https://www.olx.ba/artikal/31120552/my-space-stan-ilidza-renoviran-namjesten-50-m2/,[IZDAVANJE] MY SPACE/ Stan/ Ilidza/ RENOVIRAN/ NAMJESTEN/ 50 m2,500 KM,Ilidža,43.831878,18.304953,50,Dvosoban (2),Ibrahima Ljubovića,,
https://www.olx.ba/artikal/31400468/my-space-stan-centar-hamze-hume-renoviran-48-m2/,[IZDAVANJE] MY SPACE/ Stan/ Centar/ Hamze Hume/ RENOVIRAN/ 48 m2,1.000 KM,Sarajevo - Centar,43.85762,18.41217,48,Dvosoban (2),Hamze Hume,,Istok
https://www.olx.ba/artikal/31268651/prostran-trosoban-stan-dobrinja-novi-grad/,"[IZDAVANJE] Prostran trosoban stan, Dobrinja, Novi Grad",400 KM,"Sarajevo, Novi Grad",43.82957,18.353834,67,Trosoban (3),Trg djece Dobrinje,,
https://www.olx.ba/artikal/31414333/troiposoban-stan-sa-otvorenim-pogledom-dobrinja/,"[IZDAVANJE] Troiposoban stan sa otvorenim pogledom, Dobrinja",400 KM,"Sarajevo, Novi Grad",43.824066,18.34994,84,Trosoban (3),Trg zlatnih ljiljana,,
https://www.olx.ba/artikal/30978439/stan-centar-sarajevo-50m2/,[IZDAVANJE] Stan Centar Sarajevo 50m2,400 KM,Sarajevo - Centar,43.861272,18.424041,50,Dvosoban (2),Mehmed paše Sokolovića,,
https://www.olx.ba/artikal/31411804/sigenx-izdajetrosoban-stan-na-breci/,[IZDAVANJE] Sigenx izdaje:Trosoban stan na Breci,850 KM,Sarajevo - Centar,43.868728,18.422217,100,Trosoban (3),Himze Polovine,,
